platform,contest_id,contest_title,start_time,year,contest_family
Codeforces,2237,"Order Capital Round 2 (Codeforces Round 1104, Div. 1 + Div. 2)",2026-06-18 14:35:00,2026,Div.1+Div.2
Codeforces,2236,Codeforces Round 1103 (Div. 3),2026-06-12 14:35:00,2026,Div.3
Codeforces,2233,Educational Codeforces Round 191 (Rated for Div. 2),2026-06-09 14:35:00,2026,Educational
Codeforces,2234,Codeforces Round 1102 (Div. 2),2026-06-07 14:35:00,2026,Div.2
Codeforces,2232,Codeforces Round 1101 (Div. 2),2026-05-30 14:35:00,2026,Div.2
Codeforces,2229,"Spectral::Cup 2026 Round 2 (Codeforces Round 1100, Div. 1 + Div. 2)",2026-05-23 14:35:00,2026,Div.1+Div.2
Codeforces,2231,Codeforces Round 1099 (Div. 2),2026-05-21 14:35:00,2026,Div.2
Codeforces,2230,Educational Codeforces Round 190 (Rated for Div. 2),2026-05-18 14:35:00,2026,Educational
Codeforces,2228,Codeforces Round 1098 (Div. 2),2026-05-16 14:35:00,2026,Div.2
Codeforces,2223,"Codeforces Round 1097 (Div. 1,  Based on Zhili Cup 2026)",2026-05-06 06:05:00,2026,Div.1
Codeforces,2224,"Codeforces Round 1097 (Div. 2,  Based on Zhili Cup 2026)",2026-05-06 06:05:00,2026,Div.2
Codeforces,2227,Codeforces Round 1096 (Div. 3),2026-04-30 14:35:00,2026,Div.3
Codeforces,2226,Codeforces Round 1095 (Div. 2),2026-04-28 14:35:00,2026,Div.2
Codeforces,2222,"Spectral::Cup 2026 Round 1 (Codeforces Round 1094, Div. 1 + Div. 2)",2026-04-25 14:35:00,2026,Div.1+Div.2
Codeforces,2225,Educational Codeforces Round 189 (Rated for Div. 2),2026-04-21 14:35:00,2026,Educational
Codeforces,2219,Codeforces Round 1093 (Div. 1),2026-04-13 14:35:00,2026,Div.1
Codeforces,2220,Codeforces Round 1093 (Div. 2),2026-04-13 14:35:00,2026,Div.2
Codeforces,2215,"Codeforces Round 1092 (Unrated, Div. 1, Based on THUPC 2026 — Finals)",2026-04-12 05:35:00,2026,Div.1
Codeforces,2216,"Codeforces Round 1092 (Unrated, Div. 2, Based on THUPC 2026 — Finals)",2026-04-12 05:35:00,2026,Div.2
Codeforces,2217,Codeforces Round 1091 (Div. 2) and CodeCraft 26,2026-04-07 14:35:00,2026,Div.2
Codeforces,2218,Codeforces Round 1090 (Div. 4),2026-04-04 14:35:00,2026,Div.4
Codeforces,2214,April Fools Day Contest 2026,2026-04-01 14:35:00,2026,Other
Codeforces,2210,Codeforces Round 1089 (Div. 2),2026-03-29 14:35:00,2026,Div.2
Codeforces,2211,"Nebius Round 2 (Codeforces Round 1088, Div. 1 + Div. 2)",2026-03-28 14:45:00,2026,Div.1+Div.2
Codeforces,2209,Codeforces Round 1087 (Div. 2),2026-03-21 14:35:00,2026,Div.2
Codeforces,2204,Educational Codeforces Round 188 (Rated for Div. 2),2026-03-16 14:35:00,2026,Educational
Codeforces,2208,Codeforces Round 1086 (Div. 2),2026-03-14 14:35:00,2026,Div.2
Codeforces,2207,Codeforces Round 1085 (Div. 1 + Div. 2),2026-03-08 14:35:00,2026,Div.1+Div.2
Codeforces,2206,"2026 ICPC Asia Pacific Championship - Online Mirror (Unrated, Online Mirror, ICPC Rules, Teams Preferred)",2026-03-08 01:45:00,2026,Other
Codeforces,2199,Kotlin Heroes: Episode 14,2026-03-02 14:35:00,2026,Other
Codeforces,2200,Codeforces Round 1084 (Div. 3),2026-02-27 14:35:00,2026,Div.3
Codeforces,2205,Codeforces Round 1083 (Div. 2),2026-02-26 14:35:00,2026,Div.2
Codeforces,2203,Educational Codeforces Round 187 (Rated for Div. 2),2026-02-25 14:35:00,2026,Educational
Codeforces,2201,Codeforces Round 1082 (Div. 1),2026-02-23 14:35:00,2026,Div.1
Codeforces,2202,Codeforces Round 1082 (Div. 2),2026-02-23 14:35:00,2026,Div.2
Codeforces,2192,Codeforces Round 1081 (Div. 2),2026-02-21 14:35:00,2026,Div.2
Codeforces,2198,Kotlin Heroes: Practice 14,2026-02-21 14:30:00,2026,Other
Codeforces,2195,Codeforces Round 1080 (Div. 3),2026-02-15 14:45:00,2026,Div.3
Codeforces,2196,Codeforces Round 1079 (Div. 1),2026-02-11 14:35:00,2026,Div.1
Codeforces,2197,Codeforces Round 1079 (Div. 2),2026-02-11 14:35:00,2026,Div.2
Codeforces,2194,Codeforces Round 1078 (Div. 2),2026-02-08 09:05:00,2026,Div.2
Codeforces,2187,Codeforces Round 1077 (Div. 1),2026-01-29 14:35:00,2026,Div.1
Codeforces,2188,Codeforces Round 1077 (Div. 2),2026-01-29 14:35:00,2026,Div.2
Codeforces,2193,Codeforces Round 1076 (Div. 3),2026-01-25 14:35:00,2026,Div.3
Codeforces,2189,Codeforces Round 1075 (Div. 2),2026-01-23 14:35:00,2026,Div.2
Codeforces,2185,Codeforces Round 1074 (Div. 4),2026-01-18 14:35:00,2026,Div.4
Codeforces,2190,Codeforces Round 1073 (Div. 1),2026-01-17 14:35:00,2026,Div.1
Codeforces,2191,Codeforces Round 1073 (Div. 2),2026-01-17 14:35:00,2026,Div.2
Codeforces,2184,Codeforces Round 1072 (Div. 3),2026-01-12 14:35:00,2026,Div.3
Codeforces,2183,Hello 2026,2026-01-07 14:35:00,2026,Other
Codeforces,2182,Educational Codeforces Round 186 (Rated for Div. 2),2025-12-29 14:35:00,2025,Educational
Codeforces,2178,Good Bye 2025,2025-12-27 14:35:00,2025,Other
Codeforces,2177,ICPC 2025 Online Winter Challenge powered by Huawei,2025-12-26 11:00:00,2025,Other
