platform,problem_id,title,difficulty_raw,difficulty_band,accepted_count,submission_count,acceptance_rate,contest_id,irt_users,is_experimental
AtCoder,1202Contest_a,A. DEGwer's Doctoral Dissertation,,Unknown,,,,DEGwer2023,,
AtCoder,1202Contest_b,B. vs. DEGwer,,Unknown,,,,DEGwer2023,,
AtCoder,1202Contest_c,C. binarydigit,,Unknown,,,,DEGwer2023,,
AtCoder,1202Contest_d,D. Coincidence,,Unknown,,,,DEGwer2023,,
AtCoder,1202Contest_e,E. Half Palindromes,,Unknown,,,,DEGwer2023,,
AtCoder,1202Contest_f,F. K-Medians Clustering,,Unknown,,,,DEGwer2023,,
AtCoder,1202Contest_g,G. Net of Net,,Unknown,,,,DEGwer2023,,
AtCoder,1202Contest_h,H. Incomplete Notes,,Unknown,,,,DEGwer2023,,
AtCoder,1202Contest_i,I. Convex Dombination,,Unknown,,,,DEGwer2023,,
AtCoder,1202Contest_j,J. Hated Number,,Unknown,,,,DEGwer2023,,
AtCoder,1202Contest_k,K. ± Beam,,Unknown,,,,DEGwer2023,,
AtCoder,APG4bPython_a,A. 1.00.はじめに,,Unknown,,,,APG4bPython,,
AtCoder,APG4bPython_ak,AP1. 付録1.コードテストの使い方,,Unknown,,,,APG4bPython,,
AtCoder,APG4bPython_al,AP2. 付録2.提出結果の見方,,Unknown,,,,APG4bPython,,
AtCoder,APG4bPython_b,B. 1.01.出力とコメント,,Unknown,,,,APG4bPython,,
AtCoder,APG4bPython_c,C. 1.02.プログラムの書き方とエラー,,Unknown,,,,APG4bPython,,
AtCoder,APG4bPython_cj,EX13. 三人兄弟へのプレゼント,,Unknown,,,,APG4bPython,,
AtCoder,APG4bPython_ck,EX12. 最速のランナーを見つけよう,,Unknown,,,,APG4bPython,,
AtCoder,APG4bPython_cl,EX11. 足したり引いたり,,Unknown,,,,APG4bPython,,
AtCoder,APG4bPython_cm,EX10. 平均との差,,Unknown,,,,APG4bPython,,
AtCoder,APG4bPython_cn,EX9. 電卓をつくろう2,,Unknown,,,,APG4bPython,,
AtCoder,APG4bPython_co,EX8. たくさんのA足すB問題,,Unknown,,,,APG4bPython,,
AtCoder,APG4bPython_cp,EX7. bool値パズル,,Unknown,,,,APG4bPython,,
AtCoder,APG4bPython_cq,EX6. 電卓をつくろう,,Unknown,,,,APG4bPython,,
AtCoder,APG4bPython_cr,EX5. A足すB問題,,Unknown,,,,APG4bPython,,
AtCoder,APG4bPython_cs,EX4. ◯年は何秒？,,Unknown,,,,APG4bPython,,
AtCoder,APG4bPython_ct,EX3.  計算問題,,Unknown,,,,APG4bPython,,
AtCoder,APG4bPython_cu,EX2. エラーの修正,,Unknown,,,,APG4bPython,,
AtCoder,APG4bPython_cv,EX1. コードテストと出力の練習,,Unknown,,,,APG4bPython,,
AtCoder,APG4bPython_d,D. 1.03.四則演算と優先順位,,Unknown,,,,APG4bPython,,
AtCoder,APG4bPython_e,E. 1.04.変数と型,,Unknown,,,,APG4bPython,,
AtCoder,APG4bPython_f,F. 1.05.入力,,Unknown,,,,APG4bPython,,
AtCoder,APG4bPython_g,G. 1.06.if文・比較演算子・論理演算子,,Unknown,,,,APG4bPython,,
AtCoder,APG4bPython_h,H. 1.07.論理式の値とbool型,,Unknown,,,,APG4bPython,,
AtCoder,APG4bPython_i,I. 1.08.while文,,Unknown,,,,APG4bPython,,
AtCoder,APG4bPython_j,J. 1.09.for文・break・continue,,Unknown,,,,APG4bPython,,
AtCoder,APG4bPython_k,K. 1.10.リスト,,Unknown,,,,APG4bPython,,
AtCoder,APG4bPython_l,L. 1.11.文字列,,Unknown,,,,APG4bPython,,
AtCoder,APG4bPython_m,M. 1.12.組み込み関数,,Unknown,,,,APG4bPython,,
AtCoder,APG4bPython_n,N. 1.13.関数,,Unknown,,,,APG4bPython,,
AtCoder,APG4b_a,A. 1.00.はじめに,,Unknown,,,,APG4b,,
AtCoder,APG4b_aa,AA. 3.03.STLのコンテナ,,Unknown,,,,APG4b,,
AtCoder,APG4b_ab,AB. 3.04.構造体,,Unknown,,,,APG4b,,
AtCoder,APG4b_ac,AC. 3.05.ビット演算,,Unknown,,,,APG4b,,
AtCoder,APG4b_ad,AD. 3.06.その他の機能,,Unknown,,,,APG4b,,
AtCoder,APG4b_ae,AE. 4.00.第4章について,,Unknown,,,,APG4b,,
AtCoder,APG4b_af,AF. 4.01.includeディレクティブ,,Unknown,,,,APG4b,,
AtCoder,APG4b_ag,AG. 4.02.名前空間,,Unknown,,,,APG4b,,
AtCoder,APG4b_ah,AH. 4.03.テンプレート,,Unknown,,,,APG4b,,
AtCoder,APG4b_ai,AI. 4.04.イテレータ,,Unknown,,,,APG4b,,
AtCoder,APG4b_aj,AJ. 4.05.ポインタ,,Unknown,,,,APG4b,,
AtCoder,APG4b_ak,AP1. 付録1.コードテストの使い方,,Unknown,,,,APG4b,,
AtCoder,APG4b_al,AP2. 付録2.提出結果の見方,,Unknown,,,,APG4b,,
AtCoder,APG4b_am,AP3. 付録3.コンパイルエラー集,,Unknown,,,,APG4b,,
AtCoder,APG4b_an,AP4. 付録4.ループの裏技repマクロ,,Unknown,,,,APG4b,,
AtCoder,APG4b_b,B. 1.01.出力とコメント,,Unknown,,,,APG4b,,
AtCoder,APG4b_bw,EX26. 3.06,,Unknown,,,,APG4b,,
AtCoder,APG4b_bx,EX25. 3.05,,Unknown,,,,APG4b,,
AtCoder,APG4b_by,EX24. 3.04,,Unknown,,,,APG4b,,
AtCoder,APG4b_bz,EX23. 3.03,,Unknown,,,,APG4b,,
AtCoder,APG4b_c,C. 1.02.プログラムの書き方とエラー,,Unknown,,,,APG4b,,
AtCoder,APG4b_ca,EX22. 3.02,,Unknown,,,,APG4b,,
AtCoder,APG4b_cb,EX21. 2.06,,Unknown,,,,APG4b,,
AtCoder,APG4b_cc,EX20. 2.05,,Unknown,,,,APG4b,,
AtCoder,APG4b_cd,EX19. 2.04,,Unknown,,,,APG4b,,
AtCoder,APG4b_ce,EX18. 2.03,,Unknown,,,,APG4b,,
AtCoder,APG4b_cf,EX17. 2.02,,Unknown,,,,APG4b,,
AtCoder,APG4b_cg,EX16. 2.01,,Unknown,,,,APG4b,,
AtCoder,APG4b_ch,EX15. 1.15,,Unknown,,,,APG4b,,
AtCoder,APG4b_ci,EX14. 1.14,,Unknown,,,,APG4b,,
AtCoder,APG4b_cj,EX13. 1.13,,Unknown,,,,APG4b,,
AtCoder,APG4b_ck,EX12. 1.12,,Unknown,,,,APG4b,,
AtCoder,APG4b_cl,EX11. 1.11,,Unknown,,,,APG4b,,
AtCoder,APG4b_cm,EX10. 1.10,,Unknown,,,,APG4b,,
AtCoder,APG4b_cn,EX9. 1.09,,Unknown,,,,APG4b,,
AtCoder,APG4b_co,EX8. 1.08,,Unknown,,,,APG4b,,
AtCoder,APG4b_cp,EX7. 1.07,,Unknown,,,,APG4b,,
AtCoder,APG4b_cq,EX6. 1.06,,Unknown,,,,APG4b,,
AtCoder,APG4b_cr,EX5. 1.05,,Unknown,,,,APG4b,,
AtCoder,APG4b_cs,EX4. 1.04,,Unknown,,,,APG4b,,
AtCoder,APG4b_ct,EX3. 1.03,,Unknown,,,,APG4b,,
AtCoder,APG4b_cu,EX2. 1.02,,Unknown,,,,APG4b,,
AtCoder,APG4b_cv,EX1. 1.01,,Unknown,,,,APG4b,,
AtCoder,APG4b_d,D. 1.03.四則演算と優先順位,,Unknown,,,,APG4b,,
AtCoder,APG4b_e,E. 1.04.変数と型,,Unknown,,,,APG4b,,
AtCoder,APG4b_f,F. 1.05.実行順序と入力,,Unknown,,,,APG4b,,
AtCoder,APG4b_g,G. 1.06.if文・比較演算子・論理演算子,,Unknown,,,,APG4b,,
AtCoder,APG4b_h,H. 1.07.条件式の結果とbool型,,Unknown,,,,APG4b,,
AtCoder,APG4b_i,I. 1.08.変数のスコープ,,Unknown,,,,APG4b,,
AtCoder,APG4b_j,J. 1.09.複合代入演算子,,Unknown,,,,APG4b,,
AtCoder,APG4b_k,K. 1.10.while文,,Unknown,,,,APG4b,,
AtCoder,APG4b_l,L. 1.11.for文・break・continue,,Unknown,,,,APG4b,,
AtCoder,APG4b_m,M. 1.12.文字列と文字,,Unknown,,,,APG4b,,
AtCoder,APG4b_n,N. 1.13.配列,,Unknown,,,,APG4b,,
AtCoder,APG4b_o,O. 1.14.STLの関数,,Unknown,,,,APG4b,,
AtCoder,APG4b_p,P. 1.15.関数,,Unknown,,,,APG4b,,
AtCoder,APG4b_q,Q. 2.00.第2章について,,Unknown,,,,APG4b,,
AtCoder,APG4b_r,R. 2.01.ループの書き方と範囲for文,,Unknown,,,,APG4b,,
AtCoder,APG4b_s,S. 2.02.多重ループ,,Unknown,,,,APG4b,,
AtCoder,APG4b_t,T. 2.03.多次元配列,,Unknown,,,,APG4b,,
AtCoder,APG4b_u,U. 2.04.参照,,Unknown,,,,APG4b,,
AtCoder,APG4b_v,V. 2.05.再帰関数,,Unknown,,,,APG4b,,
AtCoder,APG4b_w,W. 2.06.計算量,,Unknown,,,,APG4b,,
AtCoder,APG4b_x,X. 3.00.第3章について,,Unknown,,,,APG4b,,
AtCoder,APG4b_y,Y. 3.01.数値型,,Unknown,,,,APG4b,,
AtCoder,APG4b_z,Z. 3.02.pair／tupleとauto,,Unknown,,,,APG4b,,
AtCoder,KeioPC2025_a,A. I Love MST Problem,,Unknown,,,,KeioPC2025,,
AtCoder,KeioPC2025_b,B. Cumulative Sum Minimization,,Unknown,,,,KeioPC2025,,
AtCoder,KeioPC2025_c,C. Addictive Addition,,Unknown,,,,KeioPC2025,,
AtCoder,KeioPC2025_d,D. Can I Press Them All?,,Unknown,,,,KeioPC2025,,
AtCoder,KeioPC2025_e,E. Reversed Number Sum,,Unknown,,,,KeioPC2025,,
AtCoder,KeioPC2025_f,F. Dislike 321,,Unknown,,,,KeioPC2025,,
AtCoder,KeioPC2025_g,G. Treasure Collection,,Unknown,,,,KeioPC2025,,
AtCoder,KeioPC2025_h,H. Takosan Takusan,,Unknown,,,,KeioPC2025,,
AtCoder,KeioPC2025_i,I. Odd Even Partition,,Unknown,,,,KeioPC2025,,
AtCoder,KeioPC2025_j,J. Moving Pieces on Namori,,Unknown,,,,KeioPC2025,,
AtCoder,KeioPC2025_k,K. Loaded Dice,,Unknown,,,,KeioPC2025,,
AtCoder,KeioPC2025_l,L. Many Max Streak Problems,,Unknown,,,,KeioPC2025,,
AtCoder,KeioPC2025_m,M. Popcount MST,,Unknown,,,,KeioPC2025,,
AtCoder,KeioPC2025_n,N. Times Table Sum,,Unknown,,,,KeioPC2025,,
AtCoder,KeioPC2025_o,O. Three Constraints,,Unknown,,,,KeioPC2025,,
AtCoder,KeioPC2025_p,P. Making Arithmetic Progression,,Unknown,,,,KeioPC2025,,
AtCoder,KeioPC2025_q,Q. Colorful Wristbands,,Unknown,,,,KeioPC2025,,
