country,user_count,mean_rating,median_rating,max_rating,candidate_master_plus_count,candidate_master_plus_ratio
India,23708,1185.2041504977224,1195.0,3083,466,1.96558123840054
Bangladesh,4636,1013.379206212252,975.0,2439,54,1.1647972389991372
China,4441,1667.5584327854087,1653.0,3670,1457,32.80792614276064
Egypt,3068,1105.833441981747,1074.0,2528,112,3.650586701434159
Russia,2383,1477.7301720520352,1474.0,3138,472,19.80696600923206
Vietnam,1769,1403.568117580554,1418.0,2771,255,14.414923685698133
United States,770,1554.7662337662337,1569.0,3792,209,27.142857142857142
Syria,737,1150.4559023066486,1089.0,2469,35,4.74898236092266
Brazil,709,1294.5571227080395,1283.0,2712,89,12.552891396332862
Kazakhstan,639,1291.3521126760563,1257.0,2697,57,8.92018779342723
Iran,523,1456.3001912045888,1447.0,2965,102,19.50286806883365
Palestinian Territory,414,1159.780193236715,1165.0,2174,20,4.830917874396135
South Korea,411,1726.1873479318735,1720.0,2939,161,39.17274939172749
Indonesia,388,1316.2061855670104,1285.5,2743,46,11.855670103092782
Japan,387,1718.6279069767445,1680.0,3521,150,38.75968992248063
Mexico,361,1193.7756232686982,1163.0,2790,27,7.479224376731302
Tunisia,319,1174.2100313479625,1153.0,2269,9,2.8213166144200628
Belarus,315,1436.368253968254,1427.0,3486,57,18.09523809523809
Romania,308,1537.8474025974026,1525.5,2668,77,25.0
Poland,294,1551.9421768707482,1546.5,3358,75,25.51020408163265
Pakistan,292,1042.2534246575342,980.5,2524,6,2.054794520547945
Jordan,289,1074.4948096885814,1026.0,2316,8,2.768166089965398
Taiwan,283,1693.1766784452298,1666.0,3545,92,32.50883392226148
Uzbekistan,245,1210.204081632653,1163.0,2315,19,7.755102040816326
Azerbaijan,215,1236.2511627906977,1218.0,2512,15,6.976744186046512
Ukraine,214,1555.4205607476636,1577.5,3017,57,26.635514018691588
Canada,199,1586.1206030150754,1630.0,3335,52,26.13065326633166
Tajikistan,173,1182.6589595375722,1204.0,2800,6,3.4682080924855487
Germany,154,1562.1038961038962,1559.0,2824,41,26.623376623376625
Thailand,152,1380.546052631579,1331.5,2617,21,13.815789473684212
Antarctica,151,1549.1986754966888,1505.0,3164,36,23.841059602649008
Peru,150,1272.6533333333334,1268.5,2453,10,6.666666666666667
Georgia,147,1351.0408163265306,1329.0,2426,21,14.285714285714285
Colombia,144,1213.0277777777778,1193.5,2405,11,7.638888888888889
Argentina,125,1411.8,1423.0,2708,21,16.8
Turkey,120,1471.6416666666669,1485.0,2353,28,23.33333333333333
Singapore,119,1640.563025210084,1626.0,3073,38,31.93277310924369
Ethiopia,119,1079.8991596638657,1056.0,1956,1,0.8403361344537815
Kyrgyzstan,117,1263.6837606837607,1225.0,2638,10,8.547008547008547
Hong Kong,111,1711.8648648648648,1688.0,3079,36,32.432432432432435
Morocco,108,1220.351851851852,1179.5,2278,8,7.4074074074074066
United Kingdom,106,1471.8207547169811,1442.5,3376,23,21.69811320754717
Mongolia,100,1418.79,1475.5,2383,10,10.0
France,96,1491.1979166666667,1467.5,2530,16,16.666666666666664
Serbia,95,1598.505263157895,1591.0,2865,27,28.421052631578945
Armenia,95,1383.536842105263,1406.0,2552,17,17.894736842105264
Bolivia,92,1171.608695652174,1155.0,1947,2,2.1739130434782608
Chile,91,1304.4505494505495,1284.0,2237,10,10.989010989010987
Philippines,89,1249.8539325842696,1226.0,2542,8,8.98876404494382
Cuba,85,1310.9529411764706,1229.0,2407,6,7.0588235294117645
Australia,84,1507.452380952381,1511.5,2923,15,17.857142857142858
Spain,83,1419.1084337349398,1358.0,2351,18,21.686746987951807
Italy,79,1502.0632911392406,1477.0,2665,13,16.455696202531644
Nepal,69,1031.5942028985507,1034.0,2326,2,2.898550724637681
North Korea,68,1595.514705882353,1502.5,2916,24,35.294117647058826
Saudi Arabia,67,1252.7910447761194,1332.0,2191,4,5.970149253731343
Malaysia,66,1324.6060606060605,1289.0,2389,11,16.666666666666664
Hungary,64,1606.296875,1624.5,2716,18,28.125
Croatia,62,1692.258064516129,1728.0,2977,22,35.483870967741936
Bulgaria,62,1610.6774193548388,1575.0,2559,15,24.193548387096776
Netherlands,51,1756.862745098039,1706.0,3236,22,43.13725490196079
Switzerland,46,1623.804347826087,1625.5,3051,13,28.26086956521739
Costa Rica,40,1007.6,982.5,2101,1,2.5
Israel,37,1621.2432432432431,1527.0,2740,10,27.027027027027028
Greece,37,1373.2972972972973,1290.0,1990,5,13.513513513513514
Lebanon,37,1309.162162162162,1347.0,2449,3,8.108108108108109
Moldova,37,1308.837837837838,1300.0,2130,4,10.81081081081081
Turkmenistan,37,1240.5135135135135,1123.0,2127,2,5.405405405405405
Nigeria,36,1064.4444444444443,1041.5,1801,0,0.0
Cyprus,34,1597.970588235294,1642.5,3020,9,26.47058823529412
Algeria,34,962.970588235294,949.5,1946,1,2.941176470588235
Portugal,30,1641.9333333333334,1511.0,2631,11,36.66666666666666
Czechia,29,1454.2758620689656,1403.0,2296,6,20.689655172413797
Dominican Republic,28,1135.071428571429,1148.5,1588,0,0.0
Slovakia,27,1732.6666666666667,1757.0,2401,11,40.74074074074074
Sweden,27,1664.4444444444443,1685.0,2825,7,25.925925925925924
Lithuania,26,1599.8846153846157,1559.5,2470,8,30.76923076923077
Latvia,25,1544.64,1458.0,2416,8,32.0
Bosnia and Herzegovina,24,1277.6666666666667,1177.5,2569,3,12.5
El Salvador,24,1166.75,1180.0,1862,0,0.0
Finland,22,1280.0,1211.5,2314,4,18.181818181818183
Denmark,21,1684.809523809524,1612.0,2249,7,33.33333333333333
Norway,20,1468.75,1525.0,2523,3,15.0
Libya,20,1031.8,977.0,1628,0,0.0
Angola,20,900.3,783.5,2015,1,5.0
Ireland,19,1347.6842105263158,1212.0,2200,3,15.789473684210526
North Macedonia,18,1643.388888888889,1614.0,2449,5,27.77777777777778
New Zealand,18,1489.0555555555557,1545.0,2231,4,22.22222222222222
Slovenia,18,1390.5555555555557,1280.5,2344,4,22.22222222222222
Austria,16,1556.5625,1632.5,2591,5,31.25
Macao,16,1548.8125,1475.0,2222,1,6.25
Rwanda,16,1062.375,1011.0,2513,1,6.25
United Arab Emirates,15,1357.4666666666667,1428.0,1822,0,0.0
Venezuela,15,1134.0666666666666,1006.0,1678,0,0.0
Estonia,13,1736.6923076923076,1959.0,2360,7,53.84615384615385
Niger,13,1484.076923076923,1395.0,2493,3,23.07692307692308
Belgium,13,1461.0,1428.0,2142,2,15.384615384615383
Uruguay,12,1191.4166666666667,1191.5,1690,0,0.0
Vatican,11,1583.7272727272727,1626.0,2422,3,27.27272727272727
South Africa,10,1676.7,1628.0,3056,2,20.0
Sri Lanka,10,1275.2,1142.0,1974,1,10.0
Sudan,10,1084.7,1187.0,1710,0,0.0
Afghanistan,10,1020.8,1007.5,1739,0,0.0
Kenya,10,900.1,910.0,1306,0,0.0
Iceland,9,1542.0,1634.0,2136,2,22.22222222222222
Greenland,7,1650.571428571429,1485.0,2484,2,28.57142857142857
Zimbabwe,7,1319.857142857143,1200.0,2014,1,14.285714285714285
Ghana,7,961.1428571428572,1018.0,1224,0,0.0
American Samoa,6,1412.1666666666667,1536.5,1767,0,0.0
Sint Maarten,6,1014.0,993.0,1270,0,0.0
Uganda,6,786.6666666666666,800.5,1196,0,0.0
Luxembourg,5,1515.4,1511.0,1827,0,0.0
Saint Martin,5,1434.8,1611.0,1695,0,0.0
Cameroon,5,1299.6,1001.0,2439,1,20.0
Myanmar,5,993.8,1021.0,1120,0,0.0
Christmas Island,4,1817.25,1893.0,2529,2,50.0
Papua New Guinea,4,1741.25,1791.5,2100,1,25.0
Antigua and Barbuda,4,1636.5,1185.5,3322,1,25.0
Oman,4,1388.75,1438.0,1455,0,0.0
Isle of Man,4,1258.75,1173.5,1831,0,0.0
Tuvalu,4,937.5,910.0,1533,0,0.0
Iraq,4,811.5,730.0,1345,0,0.0
Niue,3,1629.0,1493.0,2390,1,33.33333333333333
Kiribati,3,1581.0,1223.0,2633,1,33.33333333333333
Seychelles,3,1572.0,1466.0,2146,1,33.33333333333333
Faroe Islands,3,1474.0,1868.0,1924,1,33.33333333333333
Ecuador,3,1407.6666666666667,1289.0,1750,0,0.0
Trinidad and Tobago,3,1281.0,1267.0,1465,0,0.0
Mauritania,3,1153.0,1161.0,1642,0,0.0
Malta,3,1117.3333333333333,986.0,1695,0,0.0
Madagascar,3,951.6666666666666,886.0,1229,0,0.0
Liechtenstein,3,949.3333333333334,1126.0,1229,0,0.0
Yemen,3,770.0,392.0,1554,0,0.0
Samoa,2,2998.0,2998.0,3682,2,100.0
Botswana,2,2094.0,2094.0,2287,2,100.0
Laos,2,2044.0,2044.0,2478,1,50.0
Bhutan,2,2018.0,2018.0,2476,1,50.0
Vanuatu,2,1991.0,1991.0,2413,1,50.0
Qatar,2,1976.0,1976.0,2405,1,50.0
Mali,2,1975.0,1975.0,2121,1,50.0
Belize,2,1825.5,1825.5,1920,1,50.0
Namibia,2,1814.0,1814.0,2328,1,50.0
Haiti,2,1779.5,1779.5,1793,0,0.0
Tonga,2,1630.5,1630.5,1837,0,0.0
Zambia,2,1569.5,1569.5,1608,0,0.0
Cook Islands,2,1519.0,1519.0,2031,1,50.0
San Marino,2,1474.5,1474.5,1492,0,0.0
Brunei,2,1450.0,1450.0,1631,0,0.0
Monaco,2,1447.5,1447.5,1896,0,0.0
Jamaica,2,1324.0,1324.0,1629,0,0.0
Serbia and Montenegro,2,1243.5,1243.5,1535,0,0.0
