platform,problem_id,title,difficulty_raw,difficulty_band,accepted_count,submission_count,acceptance_rate,tags
Codeforces,2236G,Criterion in Burlandia,,Unknown,214,,,"['binary search', 'bitmasks', 'brute force', 'data structures', 'dfs and similar', 'divide and conquer', 'implementation', 'trees', 'two pointers']"
Codeforces,2236F2,Elections in Saransk (hard version),,Unknown,604,,,"['combinatorics', 'dp', 'math', 'number theory']"
Codeforces,2236F1,Elections in Saransk (easy version),,Unknown,3458,,,['number theory']
Codeforces,2236E,Friendly Gifts,,Unknown,4648,,,"['brute force', 'dp']"
Codeforces,2236D,Brand New Tatar TV Show,,Unknown,9801,,,"['binary search', 'constructive algorithms', 'dp', 'games', 'math']"
Codeforces,2236C,Omsk Programmers,,Unknown,16857,,,"['brute force', 'greedy', 'math']"
Codeforces,2236B,Tatar TV Show,,Unknown,22897,,,"['greedy', 'math', 'strings']"
Codeforces,2236A,Games on the Train,,Unknown,27251,,,"['greedy', 'math']"
Codeforces,2234G,"Stripe, Token and Two Players",2700.0,Hard,266,,,"['data structures', 'dp', 'games']"
Codeforces,2234F,"Vessels, Heights and Two Versions (Hard Version)",1900.0,Medium,1897,,,"['data structures', 'dfs and similar', 'dsu', 'greedy', 'implementation', 'two pointers']"
Codeforces,2234E,"Vlad, Misha and Two Arrays",2100.0,Hard,1531,,,"['brute force', 'combinatorics', 'dfs and similar', 'divide and conquer', 'math']"
Codeforces,2234D,"XOR, Expression and Two Binary Numbers",1500.0,Medium,7570,,,"['bitmasks', 'divide and conquer', 'dp', 'math', 'number theory']"
Codeforces,2234C,"Vessels, Heights and Two Versions (Easy Version)",1200.0,Medium,10689,,,"['dfs and similar', 'dsu', 'greedy', 'implementation', 'two pointers']"
Codeforces,2234B,"Palindrome, Twelve and Two Terms",800.0,Easy,19316,,,"['brute force', 'constructive algorithms', 'math']"
Codeforces,2234A,"Euclid, Sequence and Two Numbers",800.0,Easy,21499,,,"['math', 'number theory', 'sortings']"
Codeforces,2233F,Shortest GCD Paths,2800.0,Hard,252,,,"['dp', 'graphs', 'math', 'number theory', 'shortest paths']"
Codeforces,2233E2,Permutation Transmission (Difficult Version),2300.0,Hard,856,,,"['bitmasks', 'combinatorics', 'sortings']"
Codeforces,2233E1,Permutation Transmission (Easy Version),2200.0,Hard,909,,,"['bitmasks', 'combinatorics', 'sortings']"
Codeforces,2233D,Goods on the Shelf,1900.0,Medium,2748,,,"['brute force', 'data structures', 'implementation', 'two pointers']"
Codeforces,2233C,Cost of a Bracket Sequence,1400.0,Medium,7786,,,"['brute force', 'dp', 'greedy']"
Codeforces,2233B,Different Distances,900.0,Easy,15252,,,['constructive algorithms']
Codeforces,2233A,AI Project Development,800.0,Easy,19282,,,"['brute force', 'math']"
Codeforces,2232F,The Cake Is a Lie,3000.0,Hard,248,,,"['greedy', 'math', 'number theory']"
Codeforces,2232E,Snaking Arrangement,2600.0,Hard,499,,,"['combinatorics', 'constructive algorithms']"
Codeforces,2232D,Magical Tiered Cake,2000.0,Hard,2389,,,"['constructive algorithms', 'dfs and similar', 'dp', 'greedy']"
Codeforces,2232C2,Seating Arrangement (Hard Version),1500.0,Medium,7675,,,"['binary search', 'greedy', 'math', 'two pointers']"
Codeforces,2232C1,Seating Arrangement (Easy Version),1300.0,Medium,10873,,,"['binary search', 'dp', 'greedy', 'two pointers']"
Codeforces,2232B,Cake Leveling,900.0,Easy,18679,,,"['binary search', 'greedy', 'math']"
Codeforces,2232A,Convergence,800.0,Easy,21411,,,"['greedy', 'sortings']"
Codeforces,2231F,Quadratic Jumps,2600.0,Hard,695,,,"['brute force', 'constructive algorithms', 'greedy', 'math', 'number theory']"
Codeforces,2231E,Graph Cutting,2300.0,Hard,977,,,"['dfs and similar', 'dp', 'math', 'trees']"
Codeforces,2231D,Maximum Prefix Sums,1900.0,Medium,3355,,,"['constructive algorithms', 'greedy', 'implementation', 'two pointers']"
Codeforces,2231C,Chipmunk Theo and Equality,1400.0,Medium,10704,,,"['implementation', 'sortings']"
Codeforces,2231B,Another Sorting Problem,1100.0,Easy,16459,,,['constructive algorithms']
Codeforces,2231A,Construct an Array,800.0,Easy,23321,,,['constructive algorithms']
Codeforces,2230F,Game on Growing Tree,2700.0,Hard,445,,,"['binary search', 'dfs and similar', 'divide and conquer', 'dp', 'games', 'implementation', 'trees']"
Codeforces,2230E,Minimum Influence,2100.0,Hard,1307,,,"['binary search', 'data structures', 'greedy', 'implementation', 'math', 'sortings', 'two pointers']"
Codeforces,2230D,Good Schedule,1700.0,Medium,4611,,,"['dp', 'greedy']"
Codeforces,2230C,Arrange the Numbers in a Circle,1300.0,Medium,10370,,,"['constructive algorithms', 'implementation', 'math']"
Codeforces,2230B,Digit String,1000.0,Easy,15524,,,"['greedy', 'implementation', 'math']"
Codeforces,2230A,Optimal Purchase,800.0,Easy,21110,,,"['implementation', 'math']"
Codeforces,2229I,The Endians,3400.0,Hard,165,,,"['dp', 'trees']"
Codeforces,2229H,Wowee Binary String,3200.0,Hard,176,,,"['combinatorics', 'dp', 'strings']"
Codeforces,2229G,Roadworks,2900.0,Hard,309,,,"['binary search', 'data structures', 'dp', 'greedy', 'two pointers']"
Codeforces,2229F,Load Unbalancing,2400.0,Hard,996,,,"['binary search', 'bitmasks', 'dp', 'greedy']"
Codeforces,2229E,Deconstruction Tree,2100.0,Hard,1792,,,"['combinatorics', 'data structures', 'dp', 'graphs', 'trees']"
Codeforces,2229D,Me When Median Problem,1700.0,Medium,4812,,,"['binary search', 'greedy']"
Codeforces,2229C2,We Be Flipping (Hard Version),1400.0,Medium,7994,,,"['constructive algorithms', 'dp', 'greedy']"
Codeforces,2229C1,We Be Flipping (Easy Version),900.0,Easy,14491,,,"['constructive algorithms', 'greedy']"
Codeforces,2229B,Absolute Cinema,800.0,Easy,16805,,,"['greedy', 'math']"
Codeforces,2229A,Slimes on a Line,800.0,Easy,17193,,,"['brute force', 'greedy', 'math']"
Codeforces,2228F,Momoyo and the Network,2700.0,Hard,308,,,"['binary search', 'dfs and similar', 'divide and conquer', 'dp', 'trees']"
Codeforces,2228E2,Amanojaku and Sequence (Hard Version),2500.0,Hard,282,,,"['combinatorics', 'data structures', 'implementation', 'math']"
Codeforces,2228E1,Amanojaku and Sequence (Easy Version),2400.0,Hard,558,,,"['combinatorics', 'math']"
Codeforces,2228D,"Sanae, Cross and Color",1900.0,Medium,2570,,,"['binary search', 'data structures', 'implementation']"
Codeforces,2228C2,Cirno and Number (Hard Version),1600.0,Medium,5566,,,"['binary search', 'dfs and similar', 'dp', 'greedy', 'implementation']"
