handle,country,city,organization,rating,max_rating,rank,max_rank,contribution,friend_of_count,rating_band,max_rating_band
Benq,United States,Princeton,MIT,3792,3833,legendary grandmaster,legendary grandmaster,0,21581,Legendary Grandmaster,Legendary Grandmaster
EvenImage,Samoa,Falefa,National University of Samoa,3682,3682,legendary grandmaster,legendary grandmaster,0,14261,Legendary Grandmaster,Legendary Grandmaster
zhoukangyang,China,Hangzhou,Explosive Vegetable Club,3670,3844,legendary grandmaster,legendary grandmaster,0,7834,Legendary Grandmaster,Legendary Grandmaster
jiangly,China,Chongqing,Jiangly Fan Club,3631,4039,legendary grandmaster,jiangly,0,45967,Legendary Grandmaster,Legendary Grandmaster
Kevin114514,China,,awa qwq,3574,3811,legendary grandmaster,legendary grandmaster,0,5645,Legendary Grandmaster,Legendary Grandmaster
Geothermal,United States,Austin,Swarthmore College,3569,3569,legendary grandmaster,legendary grandmaster,0,7685,Legendary Grandmaster,Legendary Grandmaster
DearMargaret,Taiwan,Taipei,,3545,3545,legendary grandmaster,legendary grandmaster,0,1475,Legendary Grandmaster,Legendary Grandmaster
maroonrk,Japan,Tokyo,AtCoder,3521,3650,legendary grandmaster,legendary grandmaster,0,6141,Legendary Grandmaster,Legendary Grandmaster
strapple,China,Yantai,,3515,3515,legendary grandmaster,legendary grandmaster,0,1467,Legendary Grandmaster,Legendary Grandmaster
tourist,Belarus,Gomel,ITMO University,3486,4009,legendary grandmaster,tourist,0,89379,Legendary Grandmaster,Legendary Grandmaster
dXqwq,China,Beijing,Tsinghua University,3436,3436,legendary grandmaster,legendary grandmaster,0,2720,Legendary Grandmaster,Legendary Grandmaster
LJC00118,China,Hangzhou,Hangzhou No.2 High School,3401,3401,legendary grandmaster,legendary grandmaster,0,1344,Legendary Grandmaster,Legendary Grandmaster
Um_nik,United Kingdom,London,Um_nik Training Center,3376,3663,legendary grandmaster,legendary grandmaster,0,19852,Legendary Grandmaster,Legendary Grandmaster
Radewoosh,Poland,Warsaw,University of Warsaw,3358,3759,legendary grandmaster,legendary grandmaster,0,13957,Legendary Grandmaster,Legendary Grandmaster
gyh20,China,Chongqing,Chongqing Bashu Middle School,3350,3447,legendary grandmaster,legendary grandmaster,0,1225,Legendary Grandmaster,Legendary Grandmaster
qiuzx,China,Nanjing,Jiangly Fan Club,3343,3418,legendary grandmaster,legendary grandmaster,0,800,Legendary Grandmaster,Legendary Grandmaster
ksun48,Canada,,MIT,3335,3781,legendary grandmaster,legendary grandmaster,0,8476,Legendary Grandmaster,Legendary Grandmaster
turmax,,,Saint Petersburg SU,3324,3559,legendary grandmaster,legendary grandmaster,0,1669,Legendary Grandmaster,Legendary Grandmaster
heuristica,Antigua and Barbuda,,Jiangly Fan Club,3322,3659,legendary grandmaster,legendary grandmaster,0,5409,Legendary Grandmaster,Legendary Grandmaster
