tag,problem_count,mean_rating,median_rating,mean_solved_count,median_solved_count,easy_count,medium_count,hard_count,unknown_count
greedy,3497,1679.7122302158273,1600.0,12011.633686016585,7687.0,849,1521,1105,22
math,3434,1761.3415710503089,1700.0,12230.089108910892,6342.0,878,1218,1303,35
implementation,3026,1513.7642330877427,1400.0,14831.727362855254,8213.5,1020,1286,680,40
dp,2493,2204.089068825911,2200.0,5476.108303249098,2127.0,94,751,1625,23
constructive algorithms,2089,1829.3346284604177,1800.0,9579.447582575394,5049.0,420,801,838,30
data structures,2015,2258.124373119358,2300.0,5030.1890818858565,2112.0,65,575,1354,21
brute force,1976,1758.8627049180327,1700.0,11409.556174089068,5689.0,431,781,740,24
binary search,1284,2033.2022029897719,2000.0,7155.08800623053,3366.5,59,558,654,13
sortings,1233,1691.3327882256747,1700.0,12144.965125709652,7057.0,282,538,403,10
graphs,1217,2264.207879295893,2300.0,4152.037797863599,1965.0,20,340,833,24
dfs and similar,1065,2165.019011406844,2100.0,4811.438497652583,2386.0,17,347,688,13
trees,958,2387.5264270613106,2400.0,3419.8277661795405,1543.5,5,207,734,12
number theory,881,1901.834862385321,1900.0,10104.432463110103,5142.0,139,337,396,9
combinatorics,830,2254.3795620437954,2300.0,4637.022891566265,1812.0,34,213,575,8
strings,812,1674.4654088050315,1600.0,15678.449507389163,7100.0,240,286,269,17
bitmasks,702,2126.2626262626263,2200.0,6558.923076923077,2488.0,52,214,427,9
two pointers,643,1895.2978056426332,1900.0,9156.95800933126,5314.0,53,315,270,5
*special,559,1835.309973045822,1800.0,2123.994633273703,433.0,35,199,137,188
geometry,429,2168.3333333333335,2250.0,5466.067599067599,1252.0,53,106,261,9
dsu,410,2180.392156862745,2200.0,4716.141463414634,2394.0,5,134,269,2
divide and conquer,361,2507.0821529745044,2500.0,2655.9972299168976,1264.0,0,55,298,8
interactive,306,2414.23487544484,2400.0,2799.02614379085,1390.0,1,65,215,25
games,295,1928.6206896551723,1900.0,8837.22033898305,3668.0,53,97,140,5
shortest paths,294,2227.3972602739727,2200.0,5209.863945578231,2273.5,5,92,195,2
probabilities,267,2427.0676691729323,2400.0,2695.449438202247,1202.0,5,40,221,1
hashing,237,2278.3898305084745,2300.0,4758.510548523207,2035.0,2,66,168,1
flows,162,2596.875,2600.0,2145.3456790123455,822.5,3,16,141,2
matrices,139,2505.109489051095,2500.0,2423.73381294964,930.0,1,17,119,2
fft,112,2854.954954954955,2900.0,1145.9732142857142,517.5,1,3,107,1
graph matchings,106,2442.3076923076924,2500.0,5196.83962264151,1025.5,5,14,85,2
string suffix structures,102,2570.29702970297,2600.0,2730.0392156862745,1183.0,1,10,90,1
ternary search,70,2013.0434782608695,2000.0,6379.185714285714,3005.0,3,25,41,1
meet-in-the-middle,52,2458.823529411765,2500.0,2319.173076923077,1151.5,0,13,38,1
2-sat,40,2320.0,2400.0,3949.775,1923.5,1,9,30,0
expression parsing,40,1851.4285714285713,1800.0,5315.325,1419.0,3,20,12,5
chinese remainder theorem,25,2344.0,2300.0,4119.8,1649.0,2,3,20,0
schedules,15,1750.0,1500.0,10129.866666666667,8791.0,3,7,4,1
communication,8,2300.0,2200.0,2022.25,1251.0,0,0,3,5
