platform,year,contest_count
AtCoder,2010,3
AtCoder,2011,4
AtCoder,2012,38
AtCoder,2013,31
AtCoder,2014,61
AtCoder,2015,74
AtCoder,2016,90
AtCoder,2017,109
AtCoder,2018,118
AtCoder,2019,118
AtCoder,2020,91
AtCoder,2021,115
AtCoder,2022,111
AtCoder,2023,385
AtCoder,2024,1981
AtCoder,2025,2019
AtCoder,2026,721
Codeforces,2010,51
Codeforces,2011,88
Codeforces,2012,117
Codeforces,2013,118
Codeforces,2014,114
Codeforces,2015,102
Codeforces,2016,137
Codeforces,2017,151
Codeforces,2018,167
Codeforces,2019,176
Codeforces,2020,175
Codeforces,2021,145
Codeforces,2022,139
Codeforces,2023,137
Codeforces,2024,130
Codeforces,2025,123
Codeforces,2026,50
