tag,problem_count,mean_acceptance_rate,median_acceptance_rate,easy_count,medium_count,hard_count
Monotonic Queue,25,41.348102713010896,45.06577896988856,0,8,17
Segment Tree,80,43.06014639961753,41.82065384243848,2,19,59
Binary Indexed Tree,44,43.81154918492572,42.85140625853484,0,13,31
Bitmask,55,45.633530632754166,45.77163540638367,0,18,37
Rolling Hash,33,45.63516309382458,42.63431845175714,1,14,18
String Matching,37,46.31415699874408,45.566160118606376,10,11,16
Number Theory,99,46.32812963302428,44.28702570379437,12,45,42
Ordered Set,79,46.991296733093016,45.63603940750601,3,31,45
Combinatorics,62,47.01999866328929,48.71990817046176,3,19,40
Binary Search,341,48.12328460688013,47.98948298850919,32,181,128
Hash Function,43,48.58697711168941,51.41265248290065,4,17,22
Dynamic Programming,661,48.939933957969714,49.80905460163834,14,322,325
Enumeration,152,50.0418377637216,48.58137351524876,32,76,44
Geometry,46,50.55553337156466,49.986692324716586,9,20,17
Memoization,43,51.12062624716791,52.34362644994053,3,12,28
Prefix Sum,258,51.33208718491971,51.835875596902895,21,156,81
Sliding Window,167,51.40630334432977,51.99165978888841,19,100,48
Topological Sort,40,52.03762758652349,54.84439679343924,0,15,25
Queue,57,52.43444196598316,53.18532087347552,7,25,25
Monotonic Stack,73,52.72593712910387,53.02157413494293,2,43,28
Shortest Path,39,52.99231194314292,55.43857156389126,0,23,16
Greedy,468,53.17284140468454,53.72288156866475,50,319,99
Heap (Priority Queue),217,53.83200517557331,54.57623918036458,16,120,81
Graph Theory,185,53.847145676049706,55.583692280133214,4,88,93
Math,681,54.655453571384086,54.24504130682031,166,324,191
Divide and Conquer,67,54.77263408268958,54.13809220310176,5,33,29
Trie,61,55.2708765553168,54.9393014390412,5,29,27
Game Theory,30,55.45085604742913,57.00158384355928,3,16,11
Bit Manipulation,287,55.522041888363205,54.96056339150848,54,130,103
Array,2188,55.60406664451013,55.92182329246781,436,1180,572
Union-Find,98,56.51139363941128,58.12993812408206,1,50,47
Hash Table,822,56.567058205418896,57.10516315216249,187,475,160
Sorting,525,56.7314555216941,58.43194554418629,97,305,123
String,877,57.06279164769974,56.804648403381655,246,435,196
Two Pointers,253,57.2112161597726,56.95068847648006,68,150,35
Design,134,57.440565635083495,58.37805300126283,14,88,32
Recursion,51,58.2526049393657,54.66185012278834,11,24,16
Stack,179,58.42658157511018,61.23332507465411,23,103,53
Data Stream,24,59.40628144322255,59.16013171414809,6,11,7
Breadth-First Search,258,59.45937627948025,60.45116938668324,20,165,73
Counting,206,59.60763854158888,61.419585847741565,66,109,31
Backtracking,114,59.62438328160802,59.69171312061795,3,78,33
Matrix,277,60.29005338858751,62.109375,40,163,74
Depth-First Search,342,60.8139229247947,61.275352012122255,39,204,99
Brainteaser,21,61.90536652971558,62.86556603773585,3,17,1
Interactive,25,62.1078800310641,62.08592981305346,4,15,6
Tree,264,63.07053957607166,64.6530944555638,41,156,67
Linked List,82,64.06533036397566,64.1476589089234,16,58,8
Binary Search Tree,43,64.79466922186444,63.37502447123848,10,28,5
Simulation,211,65.58517392229956,67.87779397473275,89,106,16
Binary Tree,180,66.54684834560877,67.2427184853679,38,125,17
