platform,problem_id,title,difficulty_raw,difficulty_band,accepted_count,submission_count,acceptance_rate,paid_only,tags
LeetCode,1,Two Sum,1,Easy,,,57.63842784907515,False,"['Array', 'Hash Table']"
LeetCode,2,Add Two Numbers,2,Medium,,,48.64132654450405,False,"['Linked List', 'Math', 'Recursion']"
LeetCode,3,Longest Substring Without Repeating Characters,2,Medium,,,39.237242980240694,False,"['Hash Table', 'String', 'Sliding Window']"
LeetCode,4,Median of Two Sorted Arrays,3,Hard,,,46.76685123782128,False,"['Array', 'Binary Search', 'Divide and Conquer']"
LeetCode,5,Longest Palindromic Substring,2,Medium,,,37.9881992776602,False,"['Two Pointers', 'String', 'Dynamic Programming']"
LeetCode,6,Zigzag Conversion,2,Medium,,,54.312954177941855,False,['String']
LeetCode,7,Reverse Integer,2,Medium,,,32.00542666439768,False,['Math']
LeetCode,8,String to Integer (atoi),2,Medium,,,21.139001329807908,False,['String']
LeetCode,9,Palindrome Number,1,Easy,,,60.65699923742167,False,['Math']
LeetCode,10,Regular Expression Matching,3,Hard,,,31.073324545816728,False,"['String', 'Dynamic Programming', 'Recursion']"
LeetCode,11,Container With Most Water,2,Medium,,,60.18446736794708,False,"['Array', 'Two Pointers', 'Greedy']"
LeetCode,12,Integer to Roman,2,Medium,,,71.12271455315152,False,"['Hash Table', 'Math', 'String']"
LeetCode,13,Roman to Integer,1,Easy,,,66.75161133527945,False,"['Hash Table', 'Math', 'String']"
LeetCode,14,Longest Common Prefix,1,Easy,,,47.726713909430444,False,"['Array', 'String', 'Trie']"
LeetCode,15,3Sum,2,Medium,,,39.244937372043914,False,"['Array', 'Two Pointers', 'Sorting']"
LeetCode,16,3Sum Closest,2,Medium,,,48.70465663379411,False,"['Array', 'Two Pointers', 'Sorting']"
LeetCode,17,Letter Combinations of a Phone Number,2,Medium,,,66.21139908129743,False,"['Hash Table', 'String', 'Backtracking']"
LeetCode,18,4Sum,2,Medium,,,40.83799939210196,False,"['Array', 'Two Pointers', 'Sorting']"
LeetCode,19,Remove Nth Node From End of List,2,Medium,,,51.814274856095324,False,"['Linked List', 'Two Pointers']"
LeetCode,20,Valid Parentheses,1,Easy,,,44.3144018109495,False,"['String', 'Stack']"
LeetCode,21,Merge Two Sorted Lists,1,Easy,,,68.41219199449303,False,"['Linked List', 'Recursion']"
LeetCode,22,Generate Parentheses,2,Medium,,,78.76611843819701,False,"['String', 'Dynamic Programming', 'Backtracking']"
LeetCode,23,Merge k Sorted Lists,3,Hard,,,59.76898370105113,False,"['Linked List', 'Divide and Conquer', 'Heap (Priority Queue)', 'Merge Sort']"
LeetCode,24,Swap Nodes in Pairs,2,Medium,,,69.67000300755309,False,"['Linked List', 'Recursion']"
LeetCode,25,Reverse Nodes in k-Group,3,Hard,,,66.33789210168182,False,"['Linked List', 'Recursion']"
LeetCode,26,Remove Duplicates from Sorted Array,1,Easy,,,63.013493457083506,False,"['Array', 'Two Pointers']"
LeetCode,27,Remove Element,1,Easy,,,61.925169763935685,False,"['Array', 'Two Pointers']"
LeetCode,28,Find the Index of the First Occurrence in a String,1,Easy,,,46.78110046631077,False,"['Two Pointers', 'String', 'String Matching']"
LeetCode,29,Divide Two Integers,2,Medium,,,19.89317825930065,False,"['Math', 'Bit Manipulation']"
LeetCode,30,Substring with Concatenation of All Words,3,Hard,,,34.541410006152255,False,"['Hash Table', 'String', 'Sliding Window']"
LeetCode,31,Next Permutation,2,Medium,,,45.45797733976741,False,"['Array', 'Two Pointers']"
LeetCode,32,Longest Valid Parentheses,3,Hard,,,38.96599113485473,False,"['String', 'Dynamic Programming', 'Stack']"
LeetCode,33,Search in Rotated Sorted Array,2,Medium,,,45.03579348742483,False,"['Array', 'Binary Search']"
LeetCode,34,Find First and Last Position of Element in Sorted Array,2,Medium,,,49.05572221036139,False,"['Array', 'Binary Search']"
LeetCode,35,Search Insert Position,1,Easy,,,51.44748384022607,False,"['Array', 'Binary Search']"
LeetCode,36,Valid Sudoku,2,Medium,,,64.62927539308915,False,"['Array', 'Hash Table', 'Matrix']"
LeetCode,37,Sudoku Solver,3,Hard,,,65.54890575265703,False,"['Array', 'Hash Table', 'Backtracking', 'Matrix']"
LeetCode,38,Count and Say,2,Medium,,,63.06570828649116,False,['String']
LeetCode,39,Combination Sum,2,Medium,,,76.66493021121829,False,"['Array', 'Backtracking']"
LeetCode,40,Combination Sum II,2,Medium,,,59.59300925835809,False,"['Array', 'Backtracking']"
LeetCode,41,First Missing Positive,3,Hard,,,43.05769808156209,False,"['Array', 'Hash Table']"
LeetCode,42,Trapping Rain Water,3,Hard,,,67.55110942840444,False,"['Array', 'Two Pointers', 'Dynamic Programming', 'Stack', 'Monotonic Stack']"
LeetCode,43,Multiply Strings,2,Medium,,,44.28404640276042,False,"['Math', 'String', 'Simulation']"
LeetCode,44,Wildcard Matching,3,Hard,,,32.144969477534836,False,"['String', 'Dynamic Programming', 'Greedy', 'Recursion']"
LeetCode,45,Jump Game II,2,Medium,,,42.99468665836055,False,"['Array', 'Dynamic Programming', 'Greedy']"
LeetCode,46,Permutations,2,Medium,,,82.01070492444273,False,"['Array', 'Backtracking']"
LeetCode,47,Permutations II,2,Medium,,,63.57506194750343,False,"['Array', 'Backtracking', 'Sorting']"
LeetCode,48,Rotate Image,2,Medium,,,80.24172969710361,False,"['Array', 'Math', 'Matrix']"
LeetCode,49,Group Anagrams,2,Medium,,,72.74490182002285,False,"['Array', 'Hash Table', 'String', 'Sorting']"
LeetCode,50,"Pow(x, n)",2,Medium,,,38.79230674630421,False,"['Math', 'Recursion']"
LeetCode,51,N-Queens,3,Hard,,,75.74869740936411,False,"['Array', 'Backtracking']"
LeetCode,52,N-Queens II,3,Hard,,,78.81350725943523,False,['Backtracking']
LeetCode,53,Maximum Subarray,2,Medium,,,53.43145036211359,False,"['Array', 'Divide and Conquer', 'Dynamic Programming']"
LeetCode,54,Spiral Matrix,2,Medium,,,56.99935352213784,False,"['Array', 'Matrix', 'Simulation']"
LeetCode,55,Jump Game,2,Medium,,,41.02158713912725,False,"['Array', 'Dynamic Programming', 'Greedy']"
LeetCode,56,Merge Intervals,2,Medium,,,52.04607149618943,False,"['Array', 'Sorting']"
LeetCode,57,Insert Interval,2,Medium,,,45.36582734540583,False,['Array']
LeetCode,58,Length of Last Word,1,Easy,,,58.99246201962862,False,['String']
LeetCode,59,Spiral Matrix II,2,Medium,,,75.19908204877028,False,"['Array', 'Matrix', 'Simulation']"
LeetCode,60,Permutation Sequence,3,Hard,,,53.352057373876626,False,"['Math', 'Recursion']"
LeetCode,61,Rotate List,2,Medium,,,42.72507844085152,False,"['Linked List', 'Two Pointers']"
LeetCode,62,Unique Paths,2,Medium,,,66.93083224779274,False,"['Math', 'Dynamic Programming', 'Combinatorics']"
LeetCode,63,Unique Paths II,2,Medium,,,44.59588009633752,False,"['Array', 'Dynamic Programming', 'Matrix']"
LeetCode,64,Minimum Path Sum,2,Medium,,,68.36341976133265,False,"['Array', 'Dynamic Programming', 'Matrix']"
LeetCode,65,Valid Number,3,Hard,,,23.09460517192519,False,['String']
LeetCode,66,Plus One,1,Easy,,,50.074462288940566,False,"['Array', 'Math']"
LeetCode,67,Add Binary,1,Easy,,,58.145925142976154,False,"['Math', 'String', 'Bit Manipulation', 'Simulation']"
LeetCode,68,Text Justification,3,Hard,,,51.323975621103855,False,"['Array', 'String', 'Simulation']"
LeetCode,69,Sqrt(x),1,Easy,,,41.91702905758434,False,"['Math', 'Binary Search']"
LeetCode,70,Climbing Stairs,1,Easy,,,54.14202054485647,False,"['Math', 'Dynamic Programming', 'Memoization']"
LeetCode,71,Simplify Path,2,Medium,,,50.74576074891179,False,"['String', 'Stack']"
LeetCode,72,Edit Distance,2,Medium,,,60.75553637012015,False,"['String', 'Dynamic Programming']"
LeetCode,73,Set Matrix Zeroes,2,Medium,,,63.11909108908629,False,"['Array', 'Hash Table', 'Matrix']"
LeetCode,74,Search a 2D Matrix,2,Medium,,,54.10553504399278,False,"['Array', 'Binary Search', 'Matrix']"
LeetCode,75,Sort Colors,2,Medium,,,69.8115290136975,False,"['Array', 'Two Pointers', 'Sorting']"
LeetCode,76,Minimum Window Substring,3,Hard,,,47.73732882588112,False,"['Hash Table', 'String', 'Sliding Window']"
LeetCode,77,Combinations,2,Medium,,,74.69019675479007,False,['Backtracking']
LeetCode,78,Subsets,2,Medium,,,82.44025133809336,False,"['Array', 'Backtracking', 'Bit Manipulation']"
LeetCode,79,Word Search,2,Medium,,,47.53136376367777,False,"['Array', 'String', 'Backtracking', 'Depth-First Search', 'Matrix']"
LeetCode,80,Remove Duplicates from Sorted Array II,2,Medium,,,64.82225838259127,False,"['Array', 'Two Pointers']"
LeetCode,81,Search in Rotated Sorted Array II,2,Medium,,,40.13771220113862,False,"['Array', 'Binary Search']"
LeetCode,82,Remove Duplicates from Sorted List II,2,Medium,,,51.93585306069494,False,"['Linked List', 'Two Pointers']"
LeetCode,83,Remove Duplicates from Sorted List,1,Easy,,,56.88251744938406,False,['Linked List']
LeetCode,84,Largest Rectangle in Histogram,3,Hard,,,50.107587422964784,False,"['Array', 'Stack', 'Monotonic Stack']"
LeetCode,85,Maximal Rectangle,3,Hard,,,58.991479685330994,False,"['Array', 'Dynamic Programming', 'Stack', 'Matrix', 'Monotonic Stack']"
LeetCode,86,Partition List,2,Medium,,,61.356763378329035,False,"['Linked List', 'Two Pointers']"
LeetCode,87,Scramble String,3,Hard,,,44.77751951431049,False,"['String', 'Dynamic Programming']"
LeetCode,88,Merge Sorted Array,1,Easy,,,55.03569056049711,False,"['Array', 'Two Pointers', 'Sorting']"
LeetCode,89,Gray Code,2,Medium,,,65.10706419650842,False,"['Math', 'Backtracking', 'Bit Manipulation']"
LeetCode,90,Subsets II,2,Medium,,,61.44548265619687,False,"['Array', 'Backtracking', 'Bit Manipulation']"
LeetCode,91,Decode Ways,2,Medium,,,38.094105914484196,False,"['String', 'Dynamic Programming']"
LeetCode,92,Reverse Linked List II,2,Medium,,,51.684053697178015,False,['Linked List']
LeetCode,93,Restore IP Addresses,2,Medium,,,56.20669509380692,False,"['String', 'Backtracking']"
LeetCode,94,Binary Tree Inorder Traversal,1,Easy,,,80.18480355521746,False,"['Stack', 'Tree', 'Depth-First Search', 'Binary Tree']"
LeetCode,95,Unique Binary Search Trees II,2,Medium,,,62.64725764636091,False,"['Dynamic Programming', 'Backtracking', 'Tree', 'Binary Search Tree', 'Binary Tree']"
LeetCode,96,Unique Binary Search Trees,2,Medium,,,63.793027144873015,False,"['Math', 'Dynamic Programming', 'Tree', 'Binary Search Tree', 'Binary Tree']"
LeetCode,97,Interleaving String,2,Medium,,,44.16580284583681,False,"['String', 'Dynamic Programming']"
LeetCode,98,Validate Binary Search Tree,2,Medium,,,35.8660012254351,False,"['Tree', 'Depth-First Search', 'Binary Search Tree', 'Binary Tree']"
LeetCode,99,Recover Binary Search Tree,2,Medium,,,59.91703078207079,False,"['Tree', 'Depth-First Search', 'Binary Search Tree', 'Binary Tree']"
LeetCode,100,Same Tree,1,Easy,,,67.29942320406018,False,"['Tree', 'Depth-First Search', 'Breadth-First Search', 'Binary Tree']"
LeetCode,101,Symmetric Tree,1,Easy,,,61.36759644917764,False,"['Tree', 'Depth-First Search', 'Breadth-First Search', 'Binary Tree']"
LeetCode,102,Binary Tree Level Order Traversal,2,Medium,,,72.84325360789884,False,"['Tree', 'Breadth-First Search', 'Binary Tree']"
LeetCode,103,Binary Tree Zigzag Level Order Traversal,2,Medium,,,63.85823766637757,False,"['Tree', 'Breadth-First Search', 'Binary Tree']"
LeetCode,104,Maximum Depth of Binary Tree,1,Easy,,,78.26851574726473,False,"['Tree', 'Depth-First Search', 'Breadth-First Search', 'Binary Tree']"
LeetCode,105,Construct Binary Tree from Preorder and Inorder Traversal,2,Medium,,,68.98481698089583,False,"['Array', 'Hash Table', 'Divide and Conquer', 'Tree', 'Binary Tree']"
LeetCode,106,Construct Binary Tree from Inorder and Postorder Traversal,2,Medium,,,68.85001610997745,False,"['Array', 'Hash Table', 'Divide and Conquer', 'Tree', 'Binary Tree']"
LeetCode,107,Binary Tree Level Order Traversal II,2,Medium,,,68.37187433350353,False,"['Tree', 'Breadth-First Search', 'Binary Tree']"
LeetCode,108,Convert Sorted Array to Binary Search Tree,1,Easy,,,75.66716031800091,False,"['Array', 'Divide and Conquer', 'Tree', 'Binary Search Tree', 'Binary Tree']"
LeetCode,109,Convert Sorted List to Binary Search Tree,2,Medium,,,66.78828956146286,False,"['Linked List', 'Divide and Conquer', 'Tree', 'Binary Search Tree', 'Binary Tree']"
LeetCode,110,Balanced Binary Tree,1,Easy,,,58.52903855494051,False,"['Tree', 'Depth-First Search', 'Binary Tree']"
LeetCode,111,Minimum Depth of Binary Tree,1,Easy,,,53.105625740800534,False,"['Tree', 'Depth-First Search', 'Breadth-First Search', 'Binary Tree']"
LeetCode,112,Path Sum,1,Easy,,,55.09022736797169,False,"['Tree', 'Depth-First Search', 'Breadth-First Search', 'Binary Tree']"
LeetCode,113,Path Sum II,2,Medium,,,62.350431275623954,False,"['Backtracking', 'Tree', 'Depth-First Search', 'Binary Tree']"
LeetCode,114,Flatten Binary Tree to Linked List,2,Medium,,,70.90012869629166,False,"['Linked List', 'Stack', 'Tree', 'Depth-First Search', 'Binary Tree']"
LeetCode,115,Distinct Subsequences,3,Hard,,,52.02974261815275,False,"['String', 'Dynamic Programming']"
LeetCode,116,Populating Next Right Pointers in Each Node,2,Medium,,,67.307472079904,False,"['Linked List', 'Tree', 'Depth-First Search', 'Breadth-First Search', 'Binary Tree']"
LeetCode,117,Populating Next Right Pointers in Each Node II,2,Medium,,,57.6850673373762,False,"['Linked List', 'Tree', 'Depth-First Search', 'Breadth-First Search', 'Binary Tree']"
LeetCode,118,Pascal's Triangle,1,Easy,,,79.05598052598977,False,"['Array', 'Dynamic Programming']"
