tag,problem_count,mean_acceptance_rate,median_acceptance_rate,easy_count,medium_count,hard_count
Array,2188,55.604066644510134,55.92182329246781,436,1180,572
String,877,57.06279164769974,56.804648403381655,246,435,196
Hash Table,822,56.567058205418896,57.10516315216249,187,475,160
Math,681,54.655453571384086,54.245041306820305,166,324,191
Dynamic Programming,661,48.939933957969714,49.809054601638344,14,322,325
Sorting,525,56.7314555216941,58.43194554418629,97,305,123
Greedy,468,53.17284140468454,53.72288156866475,50,319,99
Depth-First Search,342,60.8139229247947,61.275352012122255,39,204,99
Binary Search,341,48.123284606880134,47.98948298850919,32,181,128
Bit Manipulation,287,55.522041888363205,54.96056339150848,54,130,103
Matrix,277,60.29005338858751,62.109375,40,163,74
Tree,264,63.07053957607166,64.6530944555638,41,156,67
Prefix Sum,258,51.33208718491971,51.835875596902895,21,156,81
Breadth-First Search,258,59.45937627948025,60.45116938668324,20,165,73
Two Pointers,253,57.2112161597726,56.95068847648006,68,150,35
Heap (Priority Queue),217,53.83200517557331,54.57623918036458,16,120,81
Simulation,211,65.58517392229956,67.87779397473275,89,106,16
Counting,206,59.607638541588884,61.419585847741565,66,109,31
Graph Theory,185,53.847145676049706,55.583692280133214,4,88,93
Binary Tree,180,66.54684834560877,67.2427184853679,38,125,17
Stack,179,58.42658157511018,61.23332507465411,23,103,53
Sliding Window,167,51.40630334432977,51.99165978888841,19,100,48
Enumeration,152,50.041837763721595,48.58137351524876,32,76,44
Design,134,57.440565635083495,58.37805300126283,14,88,32
Backtracking,114,59.62438328160802,59.69171312061795,3,78,33
Number Theory,99,46.32812963302428,44.28702570379437,12,45,42
Union-Find,98,56.51139363941128,58.12993812408206,1,50,47
Linked List,82,64.06533036397566,64.1476589089234,16,58,8
Segment Tree,80,43.06014639961753,41.820653842438475,2,19,59
Ordered Set,79,46.991296733093016,45.63603940750601,3,31,45
Monotonic Stack,73,52.72593712910387,53.02157413494293,2,43,28
Divide and Conquer,67,54.77263408268958,54.13809220310176,5,33,29
Combinatorics,62,47.01999866328929,48.719908170461764,3,19,40
Trie,61,55.2708765553168,54.9393014390412,5,29,27
Queue,57,52.43444196598316,53.18532087347552,7,25,25
Bitmask,55,45.633530632754166,45.77163540638367,0,18,37
Recursion,51,58.2526049393657,54.661850122788344,11,24,16
Geometry,46,50.55553337156466,49.986692324716586,9,20,17
Binary Indexed Tree,44,43.81154918492572,42.85140625853484,0,13,31
Hash Function,43,48.586977111689414,51.41265248290065,4,17,22
Memoization,43,51.120626247167905,52.34362644994053,3,12,28
Binary Search Tree,43,64.79466922186444,63.375024471238476,10,28,5
Topological Sort,40,52.03762758652349,54.84439679343924,0,15,25
Shortest Path,39,52.99231194314292,55.43857156389126,0,23,16
String Matching,37,46.314156998744075,45.566160118606376,10,11,16
Rolling Hash,33,45.63516309382458,42.63431845175714,1,14,18
Game Theory,30,55.45085604742913,57.00158384355928,3,16,11
Monotonic Queue,25,41.348102713010896,45.06577896988856,0,8,17
Interactive,25,62.1078800310641,62.08592981305346,4,15,6
Data Stream,24,59.40628144322255,59.16013171414809,6,11,7
Brainteaser,21,61.90536652971558,62.86556603773585,3,17,1
Merge Sort,15,50.59879966618137,49.395017793594306,0,6,9
Doubly-Linked List,15,61.48307701226845,58.667358202528675,2,8,5
Randomized,12,48.079585236410075,46.26685937456557,0,9,3
Counting Sort,11,70.16825103771264,75.27109491614716,5,5,1
Iterator,9,61.91657182748577,63.41951930080116,1,8,0
Suffix Array,8,43.223313404449776,44.1177745599507,0,2,6
Quickselect,8,54.258368248576716,56.20246121464737,0,8,0
Sweep Line,8,55.6176370741182,55.38718380126966,0,1,7
Probability and Statistics,7,55.43977336275393,58.109894495298434,0,6,1
Bucket Sort,6,55.885814687360615,58.09471581589547,0,5,1
Minimum Spanning Tree,6,64.10368484343715,65.9156053112642,0,2,4
Reservoir Sampling,4,53.995948490179984,55.4862120064695,0,4,0
Radix Sort,3,51.976573316826666,52.245233183482185,0,3,0
Eulerian Circuit,3,56.585728931340896,58.498326545425215,0,0,3
Rejection Sampling,2,44.767434738779656,44.767434738779656,0,2,0
Sort,2,57.32980560536059,57.32980560536059,0,1,1
Strongly Connected Component,2,62.68065539722069,62.68065539722069,0,0,2
Biconnected Component,1,59.84349318555366,59.84349318555366,0,0,1
