tag,easy_count,medium_count,hard_count,total_count,easy_percent,medium_percent,hard_percent
Array,436,1180,572,2188,19.926873857404022,53.93053016453382,26.142595978062154
String,246,435,196,877,28.05017103762828,49.60091220068415,22.34891676168757
Hash Table,187,475,160,822,22.74939172749392,57.785888077858885,19.464720194647203
Math,166,324,191,681,24.375917767988252,47.57709251101321,28.046989720998532
Dynamic Programming,14,322,325,661,2.118003025718608,48.71406959152799,49.167927382753405
Sorting,97,305,123,525,18.476190476190478,58.0952380952381,23.42857142857143
Greedy,50,319,99,468,10.683760683760683,68.16239316239316,21.153846153846153
Depth-First Search,39,204,99,342,11.403508771929824,59.64912280701754,28.947368421052634
Binary Search,32,181,128,341,9.3841642228739,53.0791788856305,37.5366568914956
Bit Manipulation,54,130,103,287,18.81533101045296,45.29616724738676,35.88850174216028
Matrix,40,163,74,277,14.440433212996389,58.844765342960294,26.714801444043324
Tree,41,156,67,264,15.530303030303031,59.09090909090909,25.37878787878788
Prefix Sum,21,156,81,258,8.13953488372093,60.46511627906976,31.3953488372093
Breadth-First Search,20,165,73,258,7.751937984496124,63.95348837209303,28.294573643410853
Two Pointers,68,150,35,253,26.877470355731226,59.28853754940712,13.83399209486166
Heap (Priority Queue),16,120,81,217,7.373271889400922,55.29953917050692,37.327188940092164
Simulation,89,106,16,211,42.18009478672986,50.23696682464455,7.5829383886255926
Counting,66,109,31,206,32.038834951456316,52.9126213592233,15.048543689320388
Graph Theory,4,88,93,185,2.1621621621621623,47.56756756756757,50.27027027027027
Binary Tree,38,125,17,180,21.11111111111111,69.44444444444444,9.444444444444445
Stack,23,103,53,179,12.849162011173185,57.54189944134078,29.608938547486037
Sliding Window,19,100,48,167,11.377245508982035,59.88023952095808,28.74251497005988
Enumeration,32,76,44,152,21.052631578947366,50.0,28.947368421052634
Design,14,88,32,134,10.44776119402985,65.67164179104478,23.88059701492537
Backtracking,3,78,33,114,2.631578947368421,68.42105263157895,28.947368421052634
Number Theory,12,45,42,99,12.121212121212121,45.45454545454545,42.42424242424242
Union-Find,1,50,47,98,1.0204081632653061,51.02040816326531,47.95918367346938
Linked List,16,58,8,82,19.51219512195122,70.73170731707317,9.75609756097561
Segment Tree,2,19,59,80,2.5,23.75,73.75
Ordered Set,3,31,45,79,3.79746835443038,39.24050632911392,56.9620253164557
Monotonic Stack,2,43,28,73,2.73972602739726,58.9041095890411,38.35616438356164
Divide and Conquer,5,33,29,67,7.462686567164178,49.25373134328358,43.28358208955223
Combinatorics,3,19,40,62,4.838709677419355,30.64516129032258,64.51612903225806
Trie,5,29,27,61,8.19672131147541,47.540983606557376,44.26229508196721
Queue,7,25,25,57,12.280701754385964,43.859649122807014,43.859649122807014
Bitmask,0,18,37,55,0.0,32.72727272727273,67.27272727272727
Recursion,11,24,16,51,21.568627450980394,47.05882352941176,31.372549019607842
Geometry,9,20,17,46,19.565217391304348,43.47826086956522,36.95652173913043
Binary Indexed Tree,0,13,31,44,0.0,29.545454545454547,70.45454545454545
Hash Function,4,17,22,43,9.30232558139535,39.53488372093023,51.162790697674424
Memoization,3,12,28,43,6.976744186046512,27.906976744186046,65.11627906976744
Binary Search Tree,10,28,5,43,23.25581395348837,65.11627906976744,11.627906976744185
Topological Sort,0,15,25,40,0.0,37.5,62.5
Shortest Path,0,23,16,39,0.0,58.97435897435898,41.02564102564102
String Matching,10,11,16,37,27.027027027027028,29.72972972972973,43.24324324324324
Rolling Hash,1,14,18,33,3.0303030303030303,42.42424242424242,54.54545454545454
Game Theory,3,16,11,30,10.0,53.333333333333336,36.666666666666664
Monotonic Queue,0,8,17,25,0.0,32.0,68.0
Interactive,4,15,6,25,16.0,60.0,24.0
Data Stream,6,11,7,24,25.0,45.83333333333333,29.166666666666668
Brainteaser,3,17,1,21,14.285714285714285,80.95238095238095,4.761904761904762
Merge Sort,0,6,9,15,0.0,40.0,60.0
Doubly-Linked List,2,8,5,15,13.333333333333334,53.333333333333336,33.33333333333333
Randomized,0,9,3,12,0.0,75.0,25.0
Counting Sort,5,5,1,11,45.45454545454545,45.45454545454545,9.090909090909092
Iterator,1,8,0,9,11.11111111111111,88.88888888888889,0.0
Suffix Array,0,2,6,8,0.0,25.0,75.0
Quickselect,0,8,0,8,0.0,100.0,0.0
Sweep Line,0,1,7,8,0.0,12.5,87.5
Probability and Statistics,0,6,1,7,0.0,85.71428571428571,14.285714285714285
Bucket Sort,0,5,1,6,0.0,83.33333333333334,16.666666666666664
Minimum Spanning Tree,0,2,4,6,0.0,33.33333333333333,66.66666666666666
Reservoir Sampling,0,4,0,4,0.0,100.0,0.0
Radix Sort,0,3,0,3,0.0,100.0,0.0
Eulerian Circuit,0,0,3,3,0.0,0.0,100.0
Rejection Sampling,0,2,0,2,0.0,100.0,0.0
Sort,0,1,1,2,0.0,50.0,50.0
Strongly Connected Component,0,0,2,2,0.0,0.0,100.0
Biconnected Component,0,0,1,1,0.0,0.0,100.0
